2026-07-05 07:58:17 | INFO     | root | src\logging_config.py:188 | 日志系统初始化完成，日志目录: logs
2026-07-05 07:58:17 | INFO     | root | src\logging_config.py:189 | 常规日志: logs\stock_analysis_20260705.log
2026-07-05 07:58:17 | INFO     | root | src\logging_config.py:190 | 调试日志: logs\stock_analysis_debug_20260705.log
2026-07-05 07:58:17 | INFO     | __main__ | main.py:1262 | ============================================================
2026-07-05 07:58:17 | INFO     | __main__ | main.py:1263 | A股自选股智能分析系统 启动
2026-07-05 07:58:17 | INFO     | __main__ | main.py:1264 | 运行时间: 2026-07-05 07:58:17
2026-07-05 07:58:17 | INFO     | __main__ | main.py:1265 | ============================================================
2026-07-05 07:58:17 | WARNING  | __main__ | main.py:1270 | 未配置 Tushare Token，将使用其他数据源
2026-07-05 07:58:17 | WARNING  | __main__ | main.py:1270 | 未配置通知渠道，将不发送推送通知
2026-07-05 07:58:17 | WARNING  | __main__ | main.py:99 | WEBUI_HOST=0.0.0.0 binds the Web UI to a public interface while ADMIN_AUTH_ENABLED=false. Keep this service behind a trusted network boundary or enable admin authentication before exposing it.
2026-07-05 07:58:17 | INFO     | src.webui_frontend | src\webui_frontend.py:199 | 检测到可直接复用的前端静态产物，跳过运行时自动构建: C:\dsa\static\index.html
2026-07-05 07:58:31 | INFO     | uvicorn.error | .venv\lib\site-packages\uvicorn\server.py:92 | Started server process [8964]
2026-07-05 07:58:31 | INFO     | uvicorn.error | .venv\lib\site-packages\uvicorn\lifespan\on.py:48 | Waiting for application startup.
2026-07-05 07:58:31 | INFO     | uvicorn.error | .venv\lib\site-packages\uvicorn\lifespan\on.py:62 | Application startup complete.
2026-07-05 07:58:31 | INFO     | uvicorn.error | .venv\lib\site-packages\uvicorn\server.py:224 | Uvicorn running on http://0.0.0.0:8000 (Press CTRL+C to quit)
2026-07-05 07:58:31 | INFO     | __main__ | main.py:1098 | FastAPI 服务已启动: http://0.0.0.0:8000
2026-07-05 07:58:31 | INFO     | __main__ | main.py:1372 | 模式: 仅 Web 服务
2026-07-05 07:58:31 | INFO     | __main__ | main.py:1373 | Web 服务运行中: http://0.0.0.0:8000
2026-07-05 07:58:31 | INFO     | __main__ | main.py:1374 | 通过 /api/v1/analysis/analyze 接口触发分析
2026-07-05 07:58:31 | INFO     | __main__ | main.py:1375 | API 文档: http://0.0.0.0:8000/docs
2026-07-05 07:58:31 | INFO     | __main__ | main.py:1376 | 按 Ctrl+C 退出...
2026-07-05 07:58:31 | INFO     | src.services.task_queue | src\services\task_queue.py:202 | [TaskQueue] 初始化完成，最大并发: 3
2026-07-05 07:58:31 | INFO     | uvicorn.access | .venv\lib\site-packages\uvicorn\protocols\http\httptools_impl.py:484 | 127.0.0.1:4743 - "GET /api/v1/analysis/tasks/stream HTTP/1.1" 200
2026-07-05 07:58:31 | INFO     | uvicorn.access | .venv\lib\site-packages\uvicorn\protocols\http\httptools_impl.py:484 | 127.0.0.1:6988 - "GET /api/v1/analysis/tasks?status=pending,processing,cancel_requested&limit=100 HTTP/1.1" 200
2026-07-05 07:59:07 | INFO     | uvicorn.access | .venv\lib\site-packages\uvicorn\protocols\http\httptools_impl.py:484 | 127.0.0.1:12918 - "GET /api/v1/analysis/tasks?status=pending,processing,cancel_requested&limit=100 HTTP/1.1" 200
2026-07-05 07:59:07 | INFO     | src.storage | src\storage.py:1189 | 数据库初始化完成: sqlite:///C:\dsa\data\stock_analysis.db
2026-07-05 07:59:08 | INFO     | uvicorn.access | .venv\lib\site-packages\uvicorn\protocols\http\httptools_impl.py:484 | 127.0.0.1:10889 - "GET /api/v1/history?page=1&limit=20&start_date=2026-06-05&end_date=2026-07-05 HTTP/1.1" 200
2026-07-05 07:59:08 | INFO     | uvicorn.access | .venv\lib\site-packages\uvicorn\protocols\http\httptools_impl.py:484 | 127.0.0.1:5663 - "GET /api/v1/history?page=1&limit=10&stock_code=MARKET&report_type=market_review HTTP/1.1" 200
